team_id,franchise_name,playoff_appearance,titles,matches_played,win,lost,tied/NR
1,Chennai Super Kings,12,5,267,148,116,3
2,Deccan Chargers,2,1,75,29,46,0
3,Delhi Capitals,6,0,281,125,147,9
4,Gujarat Lions,1,0,30,13,16,1
5,Gujarat Titans,4,1,77,47,30,0
6,Kochi Tuskers Kerala,0,0,14,6,8,0
7,Kolkata Knight Riders,8,3,278,140,131,7
8,Lucknow Super Giants,2,0,72,34,36,2
9,Mumbai Indians,11,5,291,155,132,4
10,Pune Warriors,0,0,46,12,33,1
11,Punjab Kings,3,0,278,126,145,7
12,Rajasthan Royals,7,1,251,123,122,6
13,Rising Pune Supergiant,1,0,30,15,15,0
14,Royal Challengers Bengaluru,11,2,287,143,137,7
15,Sunrisers Hyderabad,8,1,211,102,104,5
