season,season_winner,runner-up,player_of_the_series
2008,Rajasthan Royals,Chennai Super Kings,Shane Watson (RR)
2009,Deccan Chargers,Royal Challengers Bengaluru,Adam Gilchrist (DCH)
2010,Chennai Super Kings,Mumbai Indians,Sachin Tendulkar (MI)
2011,Chennai Super Kings,Royal Challengers Bengaluru,Chris Gayle (RCB)
2012,Kolkata Knight Riders,Chennai Super Kings,Sunil Narine (KKR)
2013,Mumbai Indians,Chennai Super Kings,Shane Watson (RCB)
2014,Kolkata Knight Riders,Punjab Kings,Glen Maxwell (PBKS)
2015,Mumbai Indians,Chennai Super Kings,Andre Russell (KKR)
2016,Sunrisers Hyderabad,Royal Challengers Bengaluru,Virat Kohli (RCB)
2017,Mumbai Indians,Rising Pune Supergiant,Ben Stokes (RPS)
2018,Chennai Super Kings,Sunrisers Hyderabad,Sunil Narine (KKR)
2019,Mumbai Indians,Chennai Super Kings,Andre Russell (KKR)
2020,Mumbai Indians,Delhi Capitals,Jofra Archer (RR)
2021,Chennai Super Kings,Kolkata Knight Riders,Harshal Patel (RCB)
2022,Gujarat Titans,Rajasthan Royals,Jos Buttler (GT)
2023,Chennai Super Kings,Gujarat Titans,Shubman Gill (GT)
2024,Kolkata Knight Riders,Sunrisers Hyderabad,Sunil Narine (KKR)
2025,Royal Challengers Bengaluru,Punjab Kings,Suryakumar Yadav (MI)
2026,Royal Challengers Bengaluru,Gujarat Titans,Vaibhav Sooryavanshi (RR)
