venue_id,venue,city,matches_hosted,Win_by_Batting_First,Win_by_Batting_Second,Wins_After_Winning_Toss,Wins_After_Losing_Toss,No_result
1,Arun Jaitley Stadium,Delhi,104,48,55,55,53,1
2,Barabati Stadium,Cuttack,7,4,3,5,2,0
3,Barsapara Cricket Stadium,Guwahati,8,4,4,3,5,0
4,Brabourne Stadium,Mumbai,27,14,13,14,13,0
5,Buffalo Park,East London,3,2,1,2,1,0
6,Diamond Oval,Kimberley,3,1,2,2,1,0
7,Dr DY Patil Sports Academy,Navi Mumbai,37,17,20,20,17,0
8,Dr YS Rajasekhara Reddy Cricket Stadium,Visakhapatnam,17,8,9,9,8,0
9,Dubai International Cricket Stadium,Dubai,46,23,23,18,28,0
10,Eden Gardens,Kolkata,107,45,60,53,52,2
11,Ekana Cricket Stadium,Lucknow,29,12,16,18,10,1
12,Green Park,Kanpur,4,0,4,4,0,0
13,Himachal Pradesh Cricket Association Stadium,Dharamsala,19,11,7,8,10,1
14,Holkar Cricket Stadium,Indore,9,1,8,7,2,0
15,JSCA International Stadium Complex,Ranchi,7,2,5,4,3,0
16,Kingsmead,Durban,15,8,7,9,6,0
17,M Chinnaswamy Stadium,Bengaluru,105,44,57,57,44,4
18,MA Chidambaram Stadium,Chennai,98,53,45,50,48,0
19,Maharaja Yadavindra Singh International Cricket St,New Chandigarh,17,8,9,10,7,0
20,Maharashtra Cricket Association Stadium,Pune,51,28,23,28,23,0
21,Mangaung Oval,Bloemfontein,2,1,1,2,0,0
22,Narendra Modi Stadium,Ahmedabad,53,26,26,24,28,1
23,Nehru Stadium ,Kochi,5,3,2,2,3,0
24,Newlands,Cape Town,7,5,2,4,3,0
25,Punjab Cricket Association IS Bindra Stadium,Mohali,61,27,34,29,32,0
26,Rajiv Gandhi International Stadium,Hyderabad,90,40,49,33,56,1
27,Saurashtra Cricket Association Stadium,Rajkot,10,3,7,4,6,0
28,Sawai Mansingh Stadium,Jaipur,68,24,44,38,30,0
29,Shaheed Veer Narayan Singh International Stadium,Raipur,8,2,6,5,3,0
30,Sharjah Cricket Stadium,Sharjah,28,10,18,16,12,0
31,Sheikh Zayed Stadium,Abu Dhabi,37,16,21,20,17,0
32,St George's Park,Port Elizabeth,7,3,4,3,4,0
33,SuperSport Park,Centurion,12,4,8,8,4,0
34,Vidarbha Cricket Association Stadium,Nagpur,3,2,1,1,2,0
35,Wanderers Stadium,Johannesburg,8,3,5,3,5,0
36,Wankhede Stadium,Mumbai,132,59,72,68,63,1
